iter	RMSE
0	19743.9901
1	18259.77314
2	17282.42432
3	15530.70811
4	14919.97307
5	14093.3259
6	13683.17109
7	13348.69179
8	13100.07139
9	12893.52468
10	12628.08707
11	12421.09358
12	12141.62464
13	12005.12531
14	11566.70508
15	11334.86653
16	11244.64027
17	11119.16339
18	10967.18822
19	10888.0161
20	10757.274
21	10672.46196
22	10586.93173
23	10428.56381
24	10254.73705
25	10159.96314
26	10081.57642
27	9994.960131
28	9908.463583
29	9822.343431
30	9724.122289
31	9570.63124
32	9494.236886
33	9415.141312
34	9363.481815
35	9302.258895
36	9233.282675
37	9117.945112
38	9066.869408
39	9022.522303
40	8946.233728
41	8907.421776
42	8866.36567
43	8833.36776
44	8805.667967
45	8762.492594
46	8692.412678
47	8637.495413
48	8583.684663
49	8532.310696
50	8445.436822
51	8414.457972
52	8371.051525
53	8286.323887
54	8241.766308
55	8208.812946
56	8182.409368
57	8152.692134
58	8110.793926
59	8066.943902
60	8022.692138
61	7996.165531
62	7968.413439
63	7947.281518
64	7909.10184
65	7875.731788
66	7849.429986
67	7821.257106
68	7797.795935
69	7780.470189
70	7749.597626
71	7725.439276
72	7703.561682
73	7670.890644
74	7637.480664
75	7605.410486
76	7590.574079
77	7566.387218
78	7538.450296
79	7519.0224
80	7496.453915
81	7480.72627
82	7454.386015
83	7444.330135
84	7431.15738
85	7408.200297
86	7359.01923
87	7349.911346
88	7322.277392
89	7298.247598
90	7274.492195
91	7250.482635
92	7238.171902
93	7212.70104
94	7199.606549
95	7180.110687
96	7165.216764
97	7146.894456
98	7133.538057
99	7124.394854
100	7114.150043
101	7095.288216
102	7083.767079
103	7067.593656
104	7045.870083
105	7031.084437
106	7004.824963
107	6996.600203
108	6982.75146
109	6977.93265
110	6965.392167
111	6951.273813
112	6939.795902
113	6928.334667
114	6913.309678
115	6900.53026
116	6891.692123
117	6885.70732
118	6871.283815
119	6850.874117
120	6838.949493
121	6824.695621
122	6819.469617
123	6810.190485
124	6791.279344
125	6772.620132
126	6759.129032
127	6747.151254
128	6738.716636
129	6725.00863
130	6696.701653
131	6682.45492
132	6673.476143
133	6667.501837
134	6659.176648
135	6646.085343
136	6632.054012
137	6570.387167
138	6534.554439
139	6523.974847
140	6514.622022
141	6506.868187
142	6500.202619
143	6494.602327
144	6474.544678
145	6461.151986
146	6453.785639
147	6446.765072
148	6434.220396
149	6428.124245
150	6424.221949
151	6418.000421
152	6406.537569
153	6395.831036
154	6384.576519
155	6377.272565
156	6369.958035
157	6358.567891
158	6350.180578
159	6341.036963
160	6333.815436
161	6323.079066
162	6316.301381
163	6310.54207
164	6261.236383
165	6252.217437
166	6236.223349
167	6229.877735
168	6223.823272
169	6217.052982
170	6206.133479
171	6201.965576
172	6198.14425
173	6192.93083
174	6178.58801
175	6176.255663
176	6157.439116
177	6152.390831
178	6141.552848
179	6136.548724
180	6128.069608
181	6117.644546
182	6109.628642
183	6101.998003
184	6096.133907
185	6091.573241
186	6087.447181
187	6078.959741
188	6074.530046
189	6070.910137
190	6061.127205
191	6057.779604
192	6049.893313
193	6041.051611
194	6033.90117
195	6026.80742
196	6024.464392
197	6021.392
198	6008.546525
199	6000.977701
