iter	Passed	Remaining
0	70	14038
1	82	8125
2	93	6151
3	106	5238
4	117	4576
5	129	4192
6	140	3886
7	152	3652
8	163	3469
9	175	3328
10	187	3217
11	197	3089
12	208	2995
13	218	2905
14	231	2861
15	244	2816
16	255	2752
17	268	2718
18	278	2656
19	290	2614
20	301	2573
21	312	2532
22	324	2500
23	338	2485
24	350	2452
25	362	2427
26	377	2416
27	390	2400
28	402	2374
29	415	2352
30	426	2322
31	439	2305
32	452	2287
33	465	2271
34	478	2257
35	493	2249
36	506	2229
37	528	2254
38	552	2282
39	572	2289
40	588	2282
41	599	2254
42	612	2235
43	628	2227
44	642	2211
45	654	2191
46	668	2175
47	680	2156
48	692	2133
49	706	2120
50	717	2097
51	730	2079
52	742	2060
53	755	2041
54	769	2028
55	779	2005
56	792	1988
57	809	1982
58	825	1973
59	838	1956
60	851	1940
61	861	1918
62	873	1899
63	883	1878
64	896	1862
65	907	1842
66	917	1821
67	930	1806
68	942	1790
69	955	1774
70	967	1758
71	978	1739
72	990	1723
73	1003	1708
74	1014	1691
75	1026	1674
76	1037	1658
77	1050	1643
78	1064	1630
79	1076	1615
80	1088	1599
81	1104	1589
82	1127	1589
83	1138	1572
84	1153	1560
85	1166	1546
86	1180	1532
87	1192	1517
88	1204	1501
89	1217	1488
90	1228	1470
91	1239	1454
92	1261	1451
93	1284	1448
94	1299	1435
95	1313	1422
96	1324	1406
97	1338	1392
98	1349	1376
99	1362	1362
100	1373	1346
101	1386	1332
102	1398	1317
103	1409	1301
104	1420	1285
105	1433	1270
106	1448	1258
107	1466	1248
108	1478	1234
109	1491	1220
110	1503	1205
111	1515	1190
112	1528	1176
113	1539	1161
114	1553	1147
115	1564	1132
116	1578	1119
117	1589	1104
118	1601	1089
119	1615	1076
120	1627	1062
121	1639	1048
122	1651	1033
123	1664	1020
124	1679	1007
125	1692	993
126	1706	980
127	1718	966
128	1730	952
129	1742	938
130	1755	924
131	1767	910
132	1779	896
133	1793	883
134	1806	869
135	1822	857
136	1840	846
137	1860	836
138	1877	824
139	1893	811
140	1906	797
141	1921	784
142	1935	771
143	1946	756
144	1959	743
145	1972	729
146	1984	715
147	1996	701
148	2010	688
149	2020	673
150	2033	659
151	2044	645
152	2056	631
153	2067	617
154	2078	603
155	2092	590
156	2105	576
157	2117	562
158	2130	549
159	2140	535
160	2152	521
161	2164	507
162	2175	493
163	2187	480
164	2199	466
165	2212	453
166	2224	439
167	2235	425
168	2248	412
169	2259	398
170	2271	385
171	2284	371
172	2296	358
173	2308	344
174	2319	331
175	2329	317
176	2342	304
177	2353	290
178	2365	277
179	2377	264
180	2389	250
181	2401	237
182	2412	224
183	2423	210
184	2434	197
185	2446	184
186	2461	171
187	2472	157
188	2483	144
189	2495	131
190	2506	118
191	2517	104
192	2529	91
193	2541	78
194	2552	65
195	2564	52
196	2574	39
197	2586	26
198	2598	13
199	2610	0
